time Receptor Messenger ReceptorActive
0.01 500 2463 0
0.02 500 2463 0
0.03 500 2463 0
0.04 500 2463 0
0.05 500 2463 0
0.06 500 2463 0
0.07 500 2463 0
0.08 500 2463 0
0.09 500 2463 0
0.1 500 2463 0
0.11 500 2463 0
0.12 500 2463 0
0.13 500 2463 0
0.14 500 2463 0
0.15 500 2463 0
0.16 500 2463 0
0.17 500 2463 0
0.18 500 2463 0
0.19 500 2463 0
0.2 500 2463 0
0.21 500 2463 0
0.22 500 2463 0
0.23 500 2463 0
0.24 500 2463 0
0.25 500 2463 0
0.26 500 2463 0
0.27 500 2463 0
0.28 500 2463 0
0.29 499 2462 1
0.3 499 2462 1
0.31 499 2462 1
0.32 499 2462 1
0.33 498 2461 2
0.34 498 2461 2
0.35 499 2462 1
0.36 499 2462 1
0.37 499 2462 1
0.38 499 2462 1
0.39 499 2462 1
0.4 499 2462 1
0.41 498 2461 2
0.42 498 2461 2
0.43 497 2460 3
0.44 497 2460 3
0.45 497 2460 3
0.46 496 2459 4
0.47 495 2458 5
0.48 495 2458 5
0.49 494 2457 6
0.5 493 2456 7
0.51 493 2456 7
0.52 493 2456 7
0.53 493 2456 7
0.54 493 2456 7
0.55 493 2456 7
0.56 492 2455 8
0.57 492 2455 8
0.58 492 2455 8
0.59 491 2454 9
0.6 491 2454 9
0.61 490 2453 10
0.62 490 2453 10
0.63 489 2452 11
0.64 489 2452 11
0.65 489 2452 11
0.66 489 2452 11
0.67 488 2451 12
0.68 488 2451 12
0.69 488 2451 12
0.7 487 2450 13
0.71 486 2449 14
0.72 486 2449 14
0.73 485 2448 15
0.74 485 2448 15
0.75 485 2448 15
0.76 485 2448 15
0.77 485 2448 15
0.78 486 2449 14
0.79 485 2448 15
0.8 485 2448 15
0.81 484 2447 16
0.82 484 2447 16
0.83 483 2446 17
0.84 483 2446 17
0.85 483 2446 17
0.86 484 2447 16
0.87 481 2444 19
0.88 480 2443 20
0.89 480 2443 20
0.9 480 2443 20
0.91 481 2444 19
0.92 481 2444 19
0.93 480 2443 20
0.94 479 2442 21
0.95 478 2441 22
0.96 479 2442 21
0.97 479 2442 21
0.98 478 2441 22
0.99 478 2441 22
1 478 2441 22
1.01 476 5166 24
1.02 476 5166 24
1.03 476 5166 24
1.04 475 5165 25
1.05 475 5165 25
1.06 475 5165 25
1.07 474 5164 26
1.08 475 5165 25
1.09 474 5164 26
1.1 475 5165 25
1.11 476 5166 24
1.12 474 5164 26
1.13 474 5164 26
1.14 474 5164 26
1.15 474 5164 26
1.16 473 5163 27
1.17 473 5163 27
1.18 473 5163 27
1.19 472 5162 28
1.2 469 5159 31
1.21 469 5159 31
1.22 470 5160 30
1.23 469 5159 31
1.24 469 5159 31
1.25 467 5157 33
1.26 468 5158 32
1.27 468 5158 32
